candidate_name,feature_set,trial,fold,fold_pr_auc,train_min_time,train_max_time,validation_min_time,validation_max_time,parameters
default_dataset_only,dataset_only,0,1,0.9955087895847118,1,10,11,15,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_dataset_only,dataset_only,0,2,0.973641418537057,1,15,16,20,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_dataset_only,dataset_only,0,3,0.8642053661505448,1,20,21,25,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_dataset_only,dataset_only,0,4,0.9852392672249608,1,25,26,30,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_combined,combined,0,1,0.9952091041497103,1,10,11,15,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_combined,combined,0,2,0.9735356862804353,1,15,16,20,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_combined,combined,0,3,0.8638275572617432,1,20,21,25,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
default_combined,combined,0,4,0.9845863892767884,1,25,26,30,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 250, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
tuned_dataset_only,dataset_only,1,1,0.9952555478524456,1,10,11,15,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.95}"
tuned_dataset_only,dataset_only,1,2,0.9753271257809447,1,15,16,20,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.95}"
tuned_dataset_only,dataset_only,1,3,0.8642900964622652,1,20,21,25,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.95}"
tuned_dataset_only,dataset_only,1,4,0.9862503153300783,1,25,26,30,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 300, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.95}"
tuned_dataset_only,dataset_only,2,1,0.9956970606431838,1,10,11,15,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
tuned_dataset_only,dataset_only,2,2,0.9687135449377042,1,15,16,20,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
tuned_dataset_only,dataset_only,2,3,0.8587509946374852,1,20,21,25,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
tuned_dataset_only,dataset_only,2,4,0.9788808190400835,1,25,26,30,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.02, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
tuned_dataset_only,dataset_only,3,1,0.9951952693256313,1,10,11,15,"{""colsample_bytree"": 0.85, ""gamma"": 0.05, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.25, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
tuned_dataset_only,dataset_only,3,2,0.9744742148796595,1,15,16,20,"{""colsample_bytree"": 0.85, ""gamma"": 0.05, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.25, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
tuned_dataset_only,dataset_only,3,3,0.8688150922995374,1,20,21,25,"{""colsample_bytree"": 0.85, ""gamma"": 0.05, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.25, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
tuned_dataset_only,dataset_only,3,4,0.9859349407575627,1,25,26,30,"{""colsample_bytree"": 0.85, ""gamma"": 0.05, ""learning_rate"": 0.05, ""max_depth"": 8, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.25, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
tuned_dataset_only,dataset_only,4,1,0.994162442363107,1,10,11,15,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
tuned_dataset_only,dataset_only,4,2,0.9369675771976148,1,15,16,20,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
tuned_dataset_only,dataset_only,4,3,0.8449621760565643,1,20,21,25,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
tuned_dataset_only,dataset_only,4,4,0.9595834500893032,1,25,26,30,"{""colsample_bytree"": 0.75, ""gamma"": 0.25, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 8, ""n_estimators"": 200, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.75}"
